Message ID,Channel Username,Date,Message,Links,Image Path
48790,@southfronteng,2025-04-12 13:59:36+00:00,,,
48789,@southfronteng,2025-04-12 13:59:36+00:00,"[**More Houthi Drones Reach Israel (Videos)**](https://southfront.press/more-houthi-drones-reach-israel-videos/)

The Houthis (Ansar Allah) on April 11 carried out another drone attack against Israel, despite an uptake in United States strikes on Yemen.

Two Yafa drones were launched at “military targets” close to the central Israeli city of Tel Aviv, Houthi military spokesman Brigadier General Yahya Saree said in a statement, noting that the attack was carried out “in support of the oppressed Palestinian people and their dear Mujahideen, and in response to the ongoing war of genocide against our brothers in Gaza.”

Separately, the Jordanian Armed Forces said that a drone “of an unknown origin” infiltrated the Kingdom’s airspace and crashed in the western province of Madaba, near the Dead Sea. Video footage posted to social networks showed fire at the crash site.

**Read More**: https://southfront.press/more-houthi-drones-reach-israel-videos/",https://southfront.press/more-houthi-drones-reach-israel-videos/,
48788,@southfronteng,2025-04-12 11:27:15+00:00,"[**Ukraine’s Military Crisis: Far-Right Whistleblower Exposes Leadership Failures**](https://southfront.press/ukraines-military-crisis-far-right-whistleblower-exposes-leadership-failures/)

Bohdan Krotevych, a notorious former Ukrainian commander and ex-chief of staff of the far-right Azov Brigade, has publicly called for the removal of General Oleksandr Syrskyi, Ukraine’s armed forces commander, accusing him of endangering soldiers’ lives with “borderline criminal” orders and outdated tactics, the Guardian reports.

Krotevych, who resigned in February (allegedly to speak freely), criticized Syrskyi for micromanaging the military and issuing directives that force troops to rest dangerously close to the front lines, such as 50 meters away, rather than in safer rear areas. He argues that Syrskyi’s lack of strategic innovation—relying on throwing more troops into battles or withdrawing them only when overwhelmed—has contributed to Ukraine’s losses in 2024 and 2025...

**Read More**: https://southfront.press/ukraines-military-crisis-far-right-whistleblower-exposes-leadership-failures/",https://southfront.press/ukraines-military-crisis-far-right-whistleblower-exposes-leadership-failures/,downloaded_images\@southfronteng_48788.jpg
48787,@southfronteng,2025-04-11 20:32:07+00:00,"[**Iran Upgraded Its Aging Mirage F1 Fighter Jets (Video)**](https://southfront.press/iran-upgraded-its-aging-mirage-f1-fighter-jets-video/)

The Islamic Republic of Iran Air Force (IRIAF) has reportedly upgraded its aging French-made Dassault Mirage F1 fighter jets.

Iran seized 24 F1BQs and F1EQs which flew over from Iraq during the 1991 Persian Gulf War. The fighter jets received multiple local upgrades in later years. As of 2021, 12 Mirage F1EQs and five Mirage F1BQs were reported to be in service with the IRIAF.

Last month, a video posted to social media showed one of the IRIAF upgraded Mirage F1 taking off. The footage was likely shot at Chahbahar Air Base, the home of fighter jets of this type.

Read More: https://southfront.press/iran-upgraded-its-aging-mirage-f1-fighter-jets-video/",https://southfront.press/iran-upgraded-its-aging-mirage-f1-fighter-jets-video/,
48786,@southfronteng,2025-04-11 19:59:58+00:00,WASHINGTON CHOSE ST. PETERSBURG OVER RAMSTEIN,,
48785,@southfronteng,2025-04-11 19:49:01+00:00,"[**U.S. Combat Drones Have Began To Operate Over Syrian Capital**](https://southfront.press/u-s-combat-drones-have-began-to-operate-over-syrian-capital/)

**United States combat drones have been spotted over the Syrian capital, Damascus, for the first known time since the start of the conflict in the country.**

The Syria Observatory, a service of the White Helmets civil defense organization that observes and tracks military flights over the country, on April 11 reported the presence of “armed reconnaissance” aircraft, a term it typically uses to refer to U.S. MQ-9 Reaper combat drones, over Damascus’ Eastern Ghouta and Barzeh neighborhood in the northern part of the capital.

Previously, U.S. drone operations in Syria were limited to the central, eastern and northern regions where ISIS and other terrorist groups are known to be active.

**Read More**: https://southfront.press/u-s-combat-drones-have-began-to-operate-over-syrian-capital/",https://southfront.press/u-s-combat-drones-have-began-to-operate-over-syrian-capital/,downloaded_images\@southfronteng_48785.jpg
48784,@southfronteng,2025-04-11 18:59:01+00:00,"[**Military Overview: Week Of Russian Victories**](https://southfront.press/military-overview-week-of-russian-victories/)

**Over the past week, Russian troops have intensified offensive operations across nearly the entire frontline, achieving important gains while inflicting heavy losses on the Ukrainian military. The most intense fighting has centered on the Krasny Liman-Chasiv Yar axis, the Pokrovsk sector, and the increasingly critical Sumy direction, where Moscow’s forces continue expanding their cross-border foothold.**

**Read More**: https://southfront.press/military-overview-week-of-russian-victories/",https://southfront.press/military-overview-week-of-russian-victories/,downloaded_images\@southfronteng_48784.jpg
48783,@southfronteng,2025-04-11 18:02:01+00:00,"[**Houthis Say U.S. Strikes Failed To Damage Their Capabilities, Attack Harry S. Truman Again**](https://southfront.press/houthis-say-u-s-strikes-failed-to-damage-their-capabilities-attack-harry-s-truman-again/)

The Houthis (Ansar Allah) announced on April 11 that they had launched another attack at the aircraft carrier USS Harry S. Truman and other warships of the United States Navy in the Red Sea in response to recent strikes on Yemen.

In a statement, Houthi military spokesman Brigadier General Yahya Saree said that the group targeted the vessels with multiple suicide drones and cruise missiles.

“The Armed Forces confirm, through the continuation of their defensive operations, that the enemy has failed to influence Yemeni military capabilities, and that, with God’s help, they will continue to perform their defensive duties on land and at sea,” the spokesman added.

**Read More**: https://southfront.press/houthis-say-u-s-strikes-failed-to-damage-their-capabilities-attack-harry-s-truman-again/",https://southfront.press/houthis-say-u-s-strikes-failed-to-damage-their-capabilities-attack-harry-s-truman-again/,downloaded_images\@southfronteng_48783.jpg
48782,@southfronteng,2025-04-11 17:06:51+00:00,"[**War Crime: New Evidence Of Ukrainian Atrocities In Kursk Region**](https://southfront.press/war-crime-new-evidence-of-ukrainian-atrocities-in-kursk-region/)

Russian investigators have uncovered new evidence of more horrific war crimes committed by Ukrainian nazis in the almost liberated Kursk region. The bodies of nine civilians were found in destroyed homes during the mop up operations in the village of Makhnovka. The evidence confirms that Ukrainian troops massacred and deliberately targeted unarmed villagers, leaving a trail of death and suffering. The bodies of the innocent civilians are bearing the scars of precise artillery strikes and deliberate gunfire.

**Read More**: https://southfront.press/war-crime-new-evidence-of-ukrainian-atrocities-in-kursk-region/",https://southfront.press/war-crime-new-evidence-of-ukrainian-atrocities-in-kursk-region/,
48781,@southfronteng,2025-04-11 16:10:18+00:00,"[**Iran Deployed Fourth Meraj-4 Long-Range AESA Radar**](https://southfront.press/iran-deployed-fourth-meraj-4-long-range-aesa-radar/)

The Iranian military has begun operating another locally-made Meraj-4 S-band long-range early warning 3D electronically scanned array (AESA) radar.

Satellite images posted to social networks on April 9 showed the advanced radar at a military base in the southeastern province of Khuzestan. This was reportedly the second system of this type to go operational in the Islamic Republic. The first is deployed in the southern province of Bushehr.

Meraj-4 was developed by Iran Electronics Industries. The company claims that the radar has a detection range from 400 to 500 kilometers, a maximum tracking range of 200 kilometers, and a 360-degree azimuth. The radar is also said to be able to track 200 targets moving at speeds up to Mach 3 simultaneously.

**Read More**: https://southfront.press/iran-deployed-fourth-meraj-4-long-range-aesa-radar/",https://southfront.press/iran-deployed-fourth-meraj-4-long-range-aesa-radar/,downloaded_images\@southfronteng_48781.jpg
